Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:52,2023-08-28 13:51:52,0.002s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:52,2023-08-28 13:51:52,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:52,2023-08-28 13:51:52,0.003s,PASSED
"randomNumber = ""0855"" + lastNineDigits",,,,2023-08-28 13:51:52,2023-08-28 13:51:52,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:52,2023-08-28 13:51:52,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:52,2023-08-28 13:51:53,1.351s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0856 Indosat M3,,,,2023-08-28 13:51:53,2023-08-28 13:51:55,1.448s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:53,2023-08-28 13:51:53,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:53,2023-08-28 13:51:53,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:53,2023-08-28 13:51:53,0.000s,PASSED
"randomNumber = ""0856"" + lastNineDigits",,,,2023-08-28 13:51:53,2023-08-28 13:51:53,0.006s,PASSED
return randomNumber,,,,2023-08-28 13:51:53,2023-08-28 13:51:53,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:53,2023-08-28 13:51:55,1.183s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0857 Indosat M3,,,,2023-08-28 13:51:55,2023-08-28 13:51:56,1.540s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:55,2023-08-28 13:51:55,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:55,2023-08-28 13:51:55,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:55,2023-08-28 13:51:55,0.010s,PASSED
"randomNumber = ""0857"" + lastNineDigits",,,,2023-08-28 13:51:55,2023-08-28 13:51:55,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:55,2023-08-28 13:51:55,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:55,2023-08-28 13:51:56,1.256s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0858 Indosat Mentari,,,,2023-08-28 13:51:56,2023-08-28 13:51:58,1.393s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:56,2023-08-28 13:51:56,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:56,2023-08-28 13:51:56,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:56,2023-08-28 13:51:56,0.000s,PASSED
"randomNumber = ""0858"" + lastNineDigits",,,,2023-08-28 13:51:56,2023-08-28 13:51:56,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:56,2023-08-28 13:51:56,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:56,2023-08-28 13:51:58,1.170s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0859 XL,,,,2023-08-28 13:51:58,2023-08-28 13:51:59,1.494s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:58,2023-08-28 13:51:58,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:58,2023-08-28 13:51:58,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:58,2023-08-28 13:51:58,0.000s,PASSED
"randomNumber = ""0859"" + lastNineDigits",,,,2023-08-28 13:51:58,2023-08-28 13:51:58,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:58,2023-08-28 13:51:58,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:58,2023-08-28 13:51:59,1.240s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0877 XL,,,,2023-08-28 13:51:59,2023-08-28 13:52:01,1.490s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:59,2023-08-28 13:51:59,0.008s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:59,2023-08-28 13:51:59,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:59,2023-08-28 13:51:59,0.000s,PASSED
"randomNumber = ""0877"" + lastNineDigits",,,,2023-08-28 13:51:59,2023-08-28 13:51:59,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:59,2023-08-28 13:51:59,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:59,2023-08-28 13:52:01,1.197s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0878 XL,,,,2023-08-28 13:52:01,2023-08-28 13:52:02,1.507s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:01,2023-08-28 13:52:01,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:01,2023-08-28 13:52:01,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:01,2023-08-28 13:52:01,0.000s,PASSED
"randomNumber = ""0878"" + lastNineDigits",,,,2023-08-28 13:52:01,2023-08-28 13:52:01,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:01,2023-08-28 13:52:01,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:01,2023-08-28 13:52:02,1.237s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0881 SMARTFREN,,,,2023-08-28 13:52:02,2023-08-28 13:52:04,1.438s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:02,2023-08-28 13:52:02,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:02,2023-08-28 13:52:02,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:02,2023-08-28 13:52:02,0.000s,PASSED
"randomNumber = ""0881"" + lastNineDigits",,,,2023-08-28 13:52:02,2023-08-28 13:52:02,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:02,2023-08-28 13:52:02,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:02,2023-08-28 13:52:04,1.222s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0882 SMARTFREN,,,,2023-08-28 13:52:04,2023-08-28 13:52:05,1.392s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:04,2023-08-28 13:52:04,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:04,2023-08-28 13:52:04,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:04,2023-08-28 13:52:04,0.000s,PASSED
"randomNumber = ""0882"" + lastNineDigits",,,,2023-08-28 13:52:04,2023-08-28 13:52:04,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:04,2023-08-28 13:52:04,0.002s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:04,2023-08-28 13:52:05,1.170s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0883 SMARTFREN,,,,2023-08-28 13:52:05,2023-08-28 13:52:06,1.420s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:05,2023-08-28 13:52:05,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:05,2023-08-28 13:52:05,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:05,2023-08-28 13:52:05,0.000s,PASSED
"randomNumber = ""0883"" + lastNineDigits",,,,2023-08-28 13:52:05,2023-08-28 13:52:05,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:05,2023-08-28 13:52:05,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:05,2023-08-28 13:52:06,1.175s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0884 SMARTFREN,,,,2023-08-28 13:52:06,2023-08-28 13:52:08,1.486s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:07,2023-08-28 13:52:07,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:07,2023-08-28 13:52:07,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:07,2023-08-28 13:52:07,0.000s,PASSED
"randomNumber = ""0884"" + lastNineDigits",,,,2023-08-28 13:52:07,2023-08-28 13:52:07,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:07,2023-08-28 13:52:07,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:07,2023-08-28 13:52:08,1.209s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0885 SMARTFREN,,,,2023-08-28 13:52:08,2023-08-28 13:52:09,1.426s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:08,2023-08-28 13:52:08,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:08,2023-08-28 13:52:08,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:08,2023-08-28 13:52:08,0.000s,PASSED
"randomNumber = ""0885"" + lastNineDigits",,,,2023-08-28 13:52:08,2023-08-28 13:52:08,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:08,2023-08-28 13:52:08,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:08,2023-08-28 13:52:09,1.209s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0886 SMARTFREN,,,,2023-08-28 13:52:09,2023-08-28 13:52:11,1.416s,FAILED
